Run,Assay Type,AvgSpotLen,LibraryLayout,BioProject,Instrument,Cultivar,Sample Name,Organism,tissue,tissue PO,tissue PO name,Age,stage,stage PO,stage PO name,treatment,environmental ontology,environmental ontology name,replicate,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366397,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935080,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366398,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935080,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366399,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935081,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366400,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935081,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366401,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935081,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366402,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935081,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366403,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935082,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366404,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935082,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366405,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935082,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366406,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935082,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366407,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935083,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366408,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935083,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366409,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935083,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366410,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935083,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366411,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935084,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366412,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935084,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366413,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935084,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366414,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935084,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366415,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935085,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366416,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935085,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366417,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935085,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366418,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935085,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366419,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935086,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366420,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935086,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366421,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935086,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366422,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935086,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366423,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935087,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366424,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935087,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366425,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935087,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366426,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935087,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366427,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935088,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366428,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935088,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366429,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935088,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366430,RNA-Seq,200,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935088,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366431,RNA-Seq,296,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935089,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366432,RNA-Seq,297,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935089,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366433,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935089,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366434,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935089,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366435,RNA-Seq,297,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935090,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366436,RNA-Seq,299,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935090,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366437,RNA-Seq,299,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935090,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366438,RNA-Seq,297,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935090,Hordeum vulgare,Root elongation zone,PO:0025181,root elongation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366439,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935091,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366440,RNA-Seq,299,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935091,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366441,RNA-Seq,297,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935091,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366442,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935091,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366443,RNA-Seq,297,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935092,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366444,RNA-Seq,299,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935092,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366445,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935092,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366446,RNA-Seq,194,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935092,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366447,RNA-Seq,296,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935093,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366448,RNA-Seq,299,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935093,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366449,RNA-Seq,297,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935093,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366450,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935093,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366451,RNA-Seq,299,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935094,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366452,RNA-Seq,299,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935094,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366453,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935094,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366454,RNA-Seq,298,PAIRED,PRJEB13621,Illumina HiSeq 2000,Sahara,SAMEA3935094,Hordeum vulgare,Root maturation zone,PO:0020135,root differentiation zone  ,3 days,seed germination stage,PO:0007057,seed germination stage,sodium chloride ,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1457163,RNA-Seq,202,PAIRED,PRJEB14349,Illumina HiSeq 2000,CAR5_2_B2,SAMEA4034914,Hordeum vulgare,grain,PO:0009010,seed,,"Developing grain\, bracts removed (5 DPA)",PO:0001002,fruit development stage,,,,"replicate 2\, batch 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1457164,RNA-Seq,202,PAIRED,PRJEB14349,Illumina HiSeq 2000,CAR5_3_B2,SAMEA4034915,Hordeum vulgare,grain,PO:0009010,seed,,"Developing grain\, bracts removed (5 DPA)",PO:0001002,fruit development stage,,,,"replicate 3\, batch 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1457165,RNA-Seq,202,PAIRED,PRJEB14349,Illumina HiSeq 2000,CAR5_4_B2,SAMEA4034916,Hordeum vulgare,grain,PO:0009010,seed,,"Developing grain\, bracts removed (5 DPA)",PO:0001002,fruit development stage,,,,"replicate 4\, batch 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1457166,RNA-Seq,202,PAIRED,PRJEB14349,Illumina HiSeq 2000,EMB_a_B2,SAMEA4034917,Hordeum vulgare,embryo,PO:0009009,plant embryo  ,,4-day embryos dissected from germinating grains,PO:0007020,plant embryo stage,,,,"replicate A\, batch 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1457167,RNA-Seq,202,PAIRED,PRJEB14349,Illumina HiSeq 2000,EMB_b_B2,SAMEA4034918,Hordeum vulgare,embryo,PO:0009009,plant embryo  ,,4-day embryos dissected from germinating grains,PO:0007020,plant embryo stage,,,,"replicate B\, batch 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1457168,RNA-Seq,202,PAIRED,PRJEB14349,Illumina HiSeq 2000,EMB_c_B2,SAMEA4034919,Hordeum vulgare,embryo,PO:0009009,plant embryo  ,,4-day embryos dissected from germinating grains,PO:0007020,plant embryo stage,,,,"replicate C\, batch 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
